id,title,price,link,image_link
R706,Satin Wear Liquid Lip Color Ruby,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=400,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f8541d50e921_R706.jpg
R707,Satin Wear Liquid Lip Color Light Pink,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=401,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f85421a3b619_R707.jpg
R708,Satin Wear Liquid Lip Color Nude,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=402,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f85425e0e218_R708.jpg
R709,Satin Wear Liquid Lip Color Classic Red,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=403,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f8542ac5b116_R709.jpg
R710,Satin Wear Liquid Lip Color Orange,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=404,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f8542f388d20_R710.jpg
R1101,Natural Finish Pressed Powder - Warm Sand,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/633/s/natural-finish-pressed-powder/#238=322,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614700bed8c9f_R1101.jpg
R1102,Natural Finish Pressed Powder - Sand,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/633/s/natural-finish-pressed-powder/#238=323,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61470129b571e_R1102.jpg
R1103,Natural Finish Pressed Powder - Translucent,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/633/s/natural-finish-pressed-powder/#238=324,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614701b11e56b_R1103.jpg
R1104,Natural Finish Pressed Powder - Warm,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/633/s/natural-finish-pressed-powder/#238=325,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6147021dd404e_R1104.jpg
R1105,Natural Finish Pressed Powder - Golden,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/633/s/natural-finish-pressed-powder/#238=326,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61470287417ee_R1105.jpg
R1305,Powder Blush Rose Bronze,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/792/s/powder-blush/#237=330,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6147107ad93d6_R1305.jpg
R1301,Powder Blush Rose Essential,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/792/s/powder-blush/#237=327,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61470e96b6135_R1301.jpg
R1302,Powder Blush Desire,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/792/s/powder-blush/#237=328,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61470f0aea5c2_R1302.jpg
R1303,Powder Blush Golden Sun,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/792/s/powder-blush/#237=329,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61470f7d31a20_R1303.jpg
R1304,Powder Blush Rose Petal,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/792/s/powder-blush/#237=331,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6147100fe34a4_R1304.jpg
R2,Traceless longwear Satin Matte Foundation,54.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f0891504f_R201.jpg
R202,Traceless longwear Satin Matte Foundation - 1C Ivory,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=333,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146eb80995bb_R202.jpg
R203,Traceless longwear Satin Matte Foundation - 1.5N Cream,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=334,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ec7886503_R203.jpg
R204,Traceless longwear Satin Matte Foundation - 2N Linen,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=335,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ed48ead1c_R204.jpg
R205,Traceless longwear Satin Matte Foundation - 2C Pale Dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=336,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ee30d966f_R205.jpg
R206,Traceless longwear Satin Matte Foundation - 3N Natural,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=337,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ef2ea33e4_R206.jpg
R207,Traceless longwear Satin Matte Foundation - 3C Dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=338,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146efa82e5df_R207.jpg
R208,Traceless longwear Satin Matte Foundation - 4N Warm Dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=339,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f07694323_R208.jpg
R209,Traceless longwear Satin Matte Foundation - 5N Bare,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=340,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f1582457e_R209.jpg
R210,Traceless longwear Satin Matte Foundation - 6N Warm Honey,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/513/s/traceless-longwear-satin-matte-foundation/#231=341,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f2408c379_R210.jpg
R3,Skin Iilluminating Rich Cream Foundation,54.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f25485ee8_R301.jpg
R18,Quatro Multi Face Palette,89.00 USD,https://www.premierdeadsea-usa.com/en/פלטת-פנים,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/60eab1fbc1299_R18.jpg
R14,Lengthening and Volumizing Mascara,44.90 USD,https://www.premierdeadsea-usa.com/en/lengthening-and-volumizing-mascara,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/60eab31ea786a_R14_2.jpg
R15,Longwear Waterproof Moderate Volume Mascara,44.90 USD,https://www.premierdeadsea-usa.com/en/longwear-waterproof-moderate-volume-mascara,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/60eab415ac452_R15_Longwear_Waterproof_Moderate_Volume_Mascare_with_background.jpg
R16,Definition Liquid Eyeliner,44.90 USD,https://www.premierdeadsea-usa.com/en/definition-liquid-eyeliner,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/60eab4cf6b4e8_R16_Definition_liquid_eyeliner_eith_background.jpg
